news_id,paper,city_state,coverage_area,hispanic,white,black,american_indian_alaska_native,asian,native_hawaiian_pacific_islander,other,two_or_more,same
301,watertown daily times/the journal and courier-observer,"watertown, ny","jefferson, st. lawrence and lewis counties; ogdensburg; massena and potsdam; ny",21.4,534.8,22.3,4.1,8.2,0.7,null,9.9,no
413,the knoxville news sentinel,"knoxville, tn","knoxville, tn",4.9,73.1,17.2,0.3,1.8,0.1,0.2,2.4,yes
430,el paso times,"el paso, tx","el paso, tx",79.9,14.5,3.2,0.2,1.2,0.2,0.1,0.8,yes
104,south florida sun-sentinel,"ft. lauderdale, fl","dade, broward and palm beach counties",117.9,107.5,67.6,1.3,8.2,0.2,null,5.2,no
270,lincoln journal star,"lincoln, ne","lincoln, ne",0,72.1,24.8,0.3,0.9,0,0,1.8,yes
357,the oregonian,"portland, or",oregon,12.8,76.4,2.1,1.8,4.5,0.4,null,3.8,no
109,scripps treasure coast newspapers,"stuart, fl","indian river, martin and st. lucie counties; fl",43.5,213.5,35.3,1.9,4.8,0.3,0,5.1,no
1865,USA Today,"mclean, va",united states,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,no
129,daily herald,"arlington heights, il","suburban chicago (arlington heights, schaumburg, elgin, vernon hills and lisle; il)",79.3,319.3,18.2,0.1,71.3,0.2,0.7,10.9,no
465,the seattle times,"seattle, wa","seattle, wa",6.5,65.9,7.1,0.6,14.1,0.4,0.2,5.3,yes
636,the gazette,"colorado springs, co","colorado springs, co",17.2,69.4,5.7,0.4,3,0.2,0.2,3.7,yes
196,bangor daily news,"bangor, me",maine,1.6,93.5,1.5,0.7,1.2,0,null,1.7,no 
596,the desert sun,"palm springs, ca","palm springs, ca",25.8,61.4,4.7,0.4,5.1,0.3,0.2,2.1,yes
372,bucks county courier times,"levittown, pa","bucks county, pa",5.2,84.6,4.2,0.3,4.8,0.1,null,1.7,no
1180,asbury park press,"neptune, nj","monmouth and ocean counties, nj",19.9,159.9,11.2,0.6,7.6,0.1,null,3.1,no
2083,the villages daily sun,"the villages, fl","the villages, fl",1.7,96.9,0.3,0.1,0.6,0,0,0.3,yes
86,the news journal,"new castle, de",delaware,9.2,62.9,22.6,0.6,4,0.1,null,2.6,no
417,the tennessean,"nashville, tn","nashville-davidson metropolitan government (balance), tn",10.2,56,27.9,0.3,3.3,0.1,0.3,2.1,yes
494,newsday,"melville, ny","long island and nyc (nassau, suffolk, kings, queens, new york, bronx, richmond counties)",157.4,261.3,132.1,6.9,66.3,1,null,14.6,no
202,the boston globe,"dorchester, ma",massachusetts,73,11.5,8.6,0.5,6.7,0.1,null,2.3,no
61,los angeles daily news,"woodland hills, ca","los angeles county, ca",48.5,26.5,9.1,1.5,15.1,0.4,null,3,no
126,honolulu star-advertiser,"honolulu, hi",hawaii,10.4,22.1,2.2,0.4,37.7,10.2,null,23.7,no
