NewsID,lng,lat
1,-85.831627,33.659828
2,-86.80249,33.52066
3,-86.80249,33.52066
4,-86.983337,34.605927
5,-86.586105,34.73037
6,-86.299965,32.366806
8,-82.324829,29.651636
8,-87.569168,33.209839
9,-149.900269,61.218056
11,-131.646103,55.34222
12,-112.074036,33.448376
13,-112.074036,33.448376
14,-111.831474,33.415184
15,-110.926476,32.221745
16,-110.926476,32.221745
17,-114.627686,32.692654
18,-92.834328,33.584557
19,-94.398544,35.385921
22,-90.49733,36.058403
23,-94.047684,33.425125
25,-119.018715,35.373291
26,-121.837479,39.728493
27,-117.918671,33.641132
28,-117.086426,33.119205
29,-119.772583,36.746841
31,-118.255081,34.142509
31,-124.015373,40.90276
32,-118.193741,33.77005
34,-118.243683,34.052235
35,-120.99688,37.639099
36,-121.894684,36.600235
37,-122.271118,37.804363
38,-117.650894,34.063343
42,-117.396156,33.953346
45,-121.4944,38.58157
46,-117.289764,34.108345
48,-117.161087,32.715736
49,-122.419418,37.774929
50,-122.419418,37.774929
51,-121.894951,37.339386
53,-122.325531,37.562992
55,-122.569702,38.107422
56,-119.698189,34.420834
57,-118.340637,33.83585
58,-122.714058,38.44043
59,-120.382172,37.982952
60,-118.340637,33.83585
61,NULL,NULL
62,-119.229027,34.274647
63,-121.756889,36.910229
65,-105.270546,40.014984
67,-104.984856,39.738434
68,-104.984856,39.738434
69,-105.101929,40.167206
70,-104.609138,38.254448
73,-73.195175,41.186546
74,-73.45401,41.394817
75,-73.628197,41.026241
76,-72.685097,41.763714
77,-72.807045,41.538155
79,-72.65065,41.562321
80,-72.779541,41.661209
81,-72.927887,41.308273
83,-73.538734,41.053429
84,NULL,NULL
85,-75.524368,39.158169
86,-75.539787,39.739071
88,NULL,NULL
91,-81.022835,29.210815
93,-82.324829,29.651636
94,-83.824066,34.297878
96,-81.655647,30.332182
98,-81.949806,28.039465
99,-80.191788,25.761681
101,-81.442574,28.619444
104,-80.137321,26.122438
105,-82.530647,27.336435
108,-82.639999,27.773056
109,-80.252823,27.197548
110,-84.280739,30.438255
111,-82.457176,27.950577
112,-80.053375,26.715342
115,-84.387978,33.748997
118,-84.987709,32.460976
121,-83.632401,32.840694
122,-81.099831,32.083538
124,-155.089996,19.729721
125,-157.858322,21.306944
126,-157.858322,21.306944
127,-117.00119,46.40041
128,-90.184273,38.890606
129,-87.980629,42.08836
130,-88.320068,41.760586
131,-88.99369,40.484203
132,-89.216751,37.727272
134,-87.629799,41.878113
135,-87.629799,41.878113
136,-87.63002,40.124481
137,-90.371239,40.947815
138,-87.861153,41.120033
139,-90.515137,41.506702
140,-89.588989,40.693649
141,-91.409874,39.935604
142,-89.650154,39.781723
143,-87.844795,42.363632
144,-85.921379,39.201439
145,-85.976669,41.681995
146,-87.571091,37.971558
147,-85.139351,41.079273
148,-85.139351,41.079273
149,-87.346428,41.593369
150,-87.512543,41.56448
151,-86.158066,39.768402
152,-86.158066,39.768402
153,-86.133606,40.486427
154,-85.38636,40.193375
155,-85.370247,39.928936
157,-87.41391,39.466705
159,-91.112892,40.807655
160,-91.665627,41.977879
161,-90.577637,41.523643
163,-93.609108,41.600544
165,-92.908035,42.049469
166,-92.342583,42.492786
167,-95.616364,37.0373
168,-96.181664,38.403904
169,-97.929771,38.060844
170,-95.235252,38.971672
171,-96.571671,39.183609
172,-94.81913,38.881393
173,-95.268631,38.615768
174,-95.261078,37.34034
176,-95.689018,39.055824
177,-97.336105,37.688889
179,-84.50856,39.083672
179,-84.512016,39.103115
181,-84.503716,38.040581
183,-85.758461,38.252666
184,-101.397392,35.66782
185,-87.111168,37.771908
187,-88.600044,37.083389
188,-92.445137,31.311293
189,-93.217377,30.226595
190,-92.119301,32.509312
192,-90.071533,29.951065
194,-93.750175,32.52515
196,-68.777809,44.801182
197,-76.492188,38.978443
199,-76.61219,39.290382
200,-77.719994,39.641762
201,-77.719994,39.641762
202,-71.060097,42.358486
203,-71.060097,42.358486
204,-71.060097,42.358486
205,-70.661987,42.615929
207,NULL,NULL
208,-71.31617,42.633423
210,-70.877274,42.812592
211,-73.108719,42.700916
212,-71.002274,42.252876
213,-70.880051,42.55843
213,-70.896713,42.519539
214,-72.033386,42.075108
216,-72.589813,42.101482
218,-71.235611,42.376488
219,-71.802292,42.262592
