Organization,TOP3-women,TOP3-nonwhite
Herald-Journal,4,2
Las Vegas Sun,4,0
San Francisco Chronicle,3,1
The State Journal-Register,3,0
Times Record,3,0
The Tri-City Herald,3,0
The Newton Citizen,3,0
The Register-Herald,3,0
The Daily Review,3,0
The Humboldt Sun,3,0
Tipton County Tribune,3,n/a
San Antonio Express-News,2,2
Kinston Free Press,2,2
The New York Times,2,1
The Dallas Morning News,2,1
The Charlotte Observer,2,1
Austin American-Statesman,2,1
The Telegraph,2,1
Burlington County Times,2,1
The Galveston County Daily News,2,1
Ledger Enquirer,2,1
Las Cruces Sun-News,2,1
Tyler Morning Telegraph,2,1
The News-Times,2,1
The Alexander City Outlook,2,1
The Sacramento Bee,2,0
The Seattle Times,2,0
Houston Chronicle,2,0
The Cincinnati Enquirer,2,0
Fort Worth Star-Telegram,2,0
Omaha World-Herald,2,0
Rockford Register Star,2,0
The Idaho Statesman,2,0
The Ledger,2,0
Daily Breeze,2,0
The Wichita Eagle,2,0
The Times of Northwest Indiana,2,0
Journal Gazette,2,0
The Post and Courier,2,0
New Haven Register/Torrington Register Citizen/Middletown Press,2,0
Beaver County Times,2,0
Sioux City Journal,2,0
The Villages Daily Sun,2,0
Herald-Argus,2,0
Times-News,2,0
The Marietta Times,2,0
The Holland Sentinel,2,0
The Daily Star,2,0
Loveland Daily Reporter-Herald,2,0
The Herald,2,0
Record Searchlight,2,0
Salina Journal,2,0
Press-Republican,2,0
The Mercury,2,0
Tribune-Star,2,0
Midland Reporter-Telegram,2,0
The Bellingham Herald,2,0
The Winchester Star,2,0
Longview News--Journal,2,0
Herald-Star/Weirton Daily Times,2,0
Gainesville Daily Register,2,0
Daily Jefferson County Union,2,0
The Star,2,0
The Advertiser-Tribune,2,0
The Paris News,2,0
Ironton Tribune,2,0
The Hanford Sentinel,2,0
"Bay Area News Group (San Jose Mercury News, Oakland Tribune, and Contra Costa Times)",2,0
Winfield Daily Courier,2,0
The News-Star,2,n/a
The Patriot Ledger/The Enterprise,2,n/a
Coloradoan,2,n/a
The Montana Standard,2,n/a
The Courier-Tribune,2,n/a
The Union Democrat,2,n/a
Times Record News,2,n/a
The Jackson Sun,2,n/a
Boone News-Republican,2,n/a
The Daily Courier,2,n/a
Kentucky New Era,2,n/a
Times-West Virginian,2,n/a
The Crowley Post-Signal,2,n/a
The Augusta Daily Gazette,2,n/a
The El Dorado Times,2,n/a
The Daily News,2,n/a
Monroe Times,2,n/a
Jennings Daily News,2,n/a
Mount Pleasant Daily Tribune,2,n/a
The Andalusia Star-News,2,n/a
Los Angeles Times,1,2
The Denver Post,1,2
The Philadelphia Inquirer,1,2
Honolulu Star-Advertiser,1,2
daily press media group,1,2
Kirksville Daily Express,1,2
the arizona republic/phoenix gazette,1,1
Star Tribune Media Company,1,1
New York Daily News,1,1
Newsday,1,1
Orlando Sentinel,1,1
Detroit Free Press,1,1
The Atlanta Journal-Constitution,1,1
Pittsburgh Post-Gazette,1,1
The Courier-Journal,1,1
The Commercial Appeal,1,1
The News Tribune,1,1
Asbury Park Press,1,1
The News & Observer,1,1
The Miami Herald,1,1
The Oklahoman,1,1
Philadelphia Daily News,1,1
The News-Sentinel,1,1
