NewsID,Year,white_sup_num,male_sup_num,asian_sup_num,total_sup_num,hisp_sup_num,black_sup_num,white_num,male_num,black_num,hisp_num,asian_num,total_num
1296,2018,2,1,0,2,0,0,4,2,0,0,1,5
1115,2018,1,1,0,1,0,0,4,4,0,0,0,4
1633,2018,3,1,0,3,0,0,9,3,0,0,0,9
1074,2018,3,1,0,3,0,0,25,15,1,0,0,27
627,2018,2,3,1,3,0,0,8,12,0,4,2,14
1033,2018,1,1,0,1,0,0,9,5,0,0,0,9
268,2018,4,2,0,4,0,0,18,12,0,0,1,20
718,2018,1,1,0,1,0,0,3,1,0,0,0,3
210,2018,4,3,0,4,0,0,9,7,0,0,0,9
377,2018,43,31,1,50,2,4,135,97,14,2,2,153
517,2018,4,6,1,6,1,0,16,13,0,1,1,19
966,2018,7,4,0,7,0,0,18,12,1,0,0,19
1083,2018,2,2,0,3,0,1,2,3,3,0,0,5
1120,2018,1,1,0,1,0,0,2,2,1,0,0,3
2081,2018,4,3,0,4,0,0,8,4,2,0,0,10
1318,2018,2,1,0,2,0,0,6,5,0,0,0,6
1536,2018,7,4,0,7,0,0,28,21,0,0,1,30
9915,2018,2,1,0,2,0,0,2,1,0,0,0,2
1701,2018,5,2,0,5,0,0,18,5,0,0,1,19
880,2018,1,0,0,1,0,0,9,8,0,0,1,10
1356,2018,1,1,0,1,0,0,8,5,0,0,0,8
1182,2018,6,5,0,6,0,0,29,22,1,2,0,33
1075,2018,3,2,0,3,0,0,17,10,1,0,0,19
116,2018,4,3,0,5,0,1,17,13,2,1,0,20
686,2018,8,7,1,12,1,1,38,24,1,5,1,46
9927,2018,1,1,0,1,0,0,2,2,0,0,0,2
9950,2018,1,2,0,2,0,0,6,7,0,0,0,9
9949,2018,1,1,0,1,0,0,6,4,0,2,0,8
2276,2018,1,1,0,1,0,0,2,2,0,0,0,2
415,2018,3,4,0,5,0,2,24,25,10,1,0,35
2139,2018,2,1,0,2,0,0,3,2,0,0,0,3
2203,2018,1,0,0,2,1,0,5,2,0,1,0,6
2394,2018,2,1,0,2,0,0,6,4,0,1,0,7
2133,2018,2,1,0,2,0,0,9,6,0,2,0,12
596,2018,5,3,0,6,1,0,5,15,3,10,5,23
9955,2018,3,1,0,3,0,0,11,4,0,1,1,13
9921,2018,2,2,1,5,1,1,2,2,1,1,1,5
9928,2018,2,1,0,2,0,0,3,2,0,0,0,3
196,2018,16,9,0,16,0,0,62,32,0,0,0,63
9910,2018,2,1,0,2,0,0,2,1,0,0,0,2
9902,2018,1,1,0,1,0,0,1,1,0,0,0,1
9933,2018,0,0,0,1,1,0,0,1,0,3,0,3
2182,2018,1,1,0,1,0,0,4,3,0,0,0,4
9929,2018,2,2,0,2,0,0,3,3,0,0,0,3
9964,2018,3,0,0,3,0,0,21,8,3,4,1,29
2332,2018,1,0,0,1,0,0,1,0,0,0,0,1
9903,2018,1,0,0,1,0,0,1,0,0,0,0,1
9962,2018,4,3,0,6,1,0,16,9,4,2,1,25
9960,2018,5,3,0,6,1,0,14,9,0,2,1,17
9904,2018,1,1,0,1,0,0,1,1,0,0,0,1
2280,2018,2,1,0,2,0,0,5,2,0,0,0,5
9911,2018,1,1,0,2,0,0,1,1,0,0,0,2
9923,2018,1,0,0,1,0,0,2,0,0,0,0,2
1180,2018,7,7,0,15,2,6,39,36,11,4,3,57
1509,2018,5,4,0,5,0,0,20,15,0,0,0,20
627,2018,1,2,1,2,0,0,6,10,0,4,2,12
2410,2018,2,1,0,2,0,0,3,2,0,0,0,3
295,2018,8,6,1,11,0,2,35,26,4,3,4,46
848,2018,1,0,0,1,0,0,2,1,2,0,0,4
93,2018,4,4,0,6,1,1,13,12,2,1,0,16
2347,2018,1,0,0,1,0,0,2,0,0,0,0,2
643,2018,1,0,0,1,0,0,5,2,0,0,0,5
9901,2018,1,1,0,1,0,0,2,2,0,0,0,2
2407,2018,2,0,0,2,0,0,2,0,0,0,0,2
1203,2018,1,2,0,4,1,0,5,8,0,4,0,15
322,2018,4,2,0,4,0,0,9,5,1,0,0,10
9935,2018,1,0,0,2,1,0,2,0,0,2,0,4
1054,2018,1,0,0,1,0,0,4,4,0,0,0,5
9900,2018,0,0,0,0,0,0,0,0,0,0,0,0
9925,2018,1,1,0,1,0,0,2,2,0,0,0,2
9963,2018,4,2,0,4,0,0,22,13,4,0,0,27
271,2018,18,7,0,18,0,0,125,80,1,1,0,127
9920,2018,2,3,0,4,2,0,2,3,0,2,0,4
1544,2018,4,2,0,4,0,0,14,9,0,0,0,14
2364,2018,16,9,0,18,2,0,100,79,7,24,9,143
295,2018,8,6,1,11,0,2,38,28,4,3,4,49
9951,2018,3,3,0,5,2,0,9,7,0,3,0,12
9912,2018,2,1,0,2,0,0,2,1,0,0,0,2
9959,2018,3,0,0,4,1,0,10,3,2,3,0,15
1570,2018,1,1,0,1,0,0,3,3,1,0,0,4
2274,2018,10,6,1,14,0,3,33,27,7,6,7,53
1391,2018,1,1,0,1,0,0,4,3,0,0,0,4
1700,2018,3,2,0,3,0,0,15,10,0,0,0,15
869,2018,1,1,0,1,0,0,4,3,0,0,0,4
1358,2018,4,3,0,4,0,0,4,3,0,0,0,4
1120,2018,1,1,0,1,0,0,3,3,1,0,0,4
1225,2018,5,4,0,5,0,0,9,8,0,0,0,9
451,2018,7,4,0,7,0,0,23,16,2,0,1,26
2341,2018,1,0,0,1,0,0,3,0,0,0,0,3
2199,2018,16,10,1,18,1,0,59,42,4,5,6,77
2324,2018,1,1,0,1,0,0,1,1,0,0,0,1
2195,2018,2,1,0,2,0,0,10,5,0,0,0,10
288,2018,1,2,0,2,0,1,2,6,3,1,0,6
9961,2018,4,3,0,5,0,1,13,10,3,1,4,22
23,2018,4,3,0,5,0,0,19,12,3,0,0,23
88,2018,101,65,9,131,2,19,472,322,79,28,84,664
2083,2018,19,9,0,19,0,0,78,39,1,0,0,80
808,2018,5,3,0,6,1,0,27,16,1,1,0,29
330,2018,13,8,0,13,0,0,64,47,7,0,3,74
315,2018,12,6,0,12,0,0,45,36,5,1,1,53
9905,2018,1,1,0,1,0,0,1,1,0,0,0,1
9940,2018,2,1,0,3,1,0,4,2,0,2,0,6
9913,2018,2,0,0,2,0,0,2,0,0,0,0,2
9917,2018,1,0,0,3,1,1,1,0,1,1,0,3
9941,2018,2,0,1,3,0,0,3,2,1,1,1,6
9916,2018,2,1,0,2,0,0,2,1,0,0,0,2
1655,2018,4,5,0,9,5,0,23,22,0,14,1,38
9934,2018,1,0,0,1,0,0,3,1,0,0,0,3
1682,2018,12,9,0,14,0,2,56,36,8,3,1,69
2333,2018,2,1,0,2,0,0,12,8,1,0,0,13
9906,2018,1,1,0,1,0,0,1,1,0,0,0,1
2147,2018,17,13,2,22,3,0,37,28,3,6,5,51
9939,2018,2,1,0,2,0,0,4,2,1,0,0,5
9931,2018,4,2,0,4,0,0,5,3,0,0,0,5
2382,2018,15,9,2,19,1,0,56,41,2,2,8,70
1039,2018,7,4,0,7,0,0,25,16,3,0,1,29
2278,2018,1,1,0,1,0,0,3,2,0,1,1,5
9952,2018,2,1,0,2,0,0,9,3,1,0,0,10
9918,2018,0,1,1,3,1,1,0,1,1,1,1,3
9926,2018,1,1,0,1,0,0,2,2,0,0,0,2
1472,2018,2,0,0,2,0,0,5,3,1,0,0,6
9956,2018,3,3,0,3,0,0,12,9,0,1,0,13
226,2018,22,19,0,26,0,4,71,65,20,4,1,96
9945,2018,4,2,0,4,0,0,7,3,0,1,0,8
9968,2018,26,21,2,32,1,3,188,135,26,11,13,238
9932,2018,4,3,0,5,0,1,4,4,1,1,0,6
188,2018,1,1,0,1,0,0,5,4,2,1,0,8
2166,2018,8,6,0,8,0,0,18,11,2,0,3,25
140,2018,5,3,0,5,0,0,40,32,1,0,0,41
2365,2018,30,22,1,35,0,4,88,66,12,2,7,109
280,2018,1,1,0,1,0,0,7,4,1,0,0,8
285,2018,1,1,0,1,0,0,7,5,1,0,0,8
358,2018,5,2,0,5,0,0,25,13,0,2,0,28
126,2018,17,24,15,34,0,2,50,70,2,1,53,109
9919,2018,2,1,0,3,0,1,2,1,1,0,0,3
45,2018,11,8,1,13,0,1,53,43,8,8,4,73
6,2018,3,3,0,3,0,0,19,19,3,0,0,22
883,2018,4,3,0,4,0,0,12,6,0,0,0,12
9907,2018,0,0,1,1,0,0,0,0,0,0,1,1
9908,2018,1,1,0,1,0,0,1,1,0,0,0,1
2377,2018,2,1,0,2,0,0,3,2,0,1,0,4
134,2018,11,10,1,12,0,0,55,47,6,2,2,65
299,2018,9,5,0,9,0,0,20,14,2,0,0,22
9914,2018,2,1,0,2,0,0,2,1,0,0,0,2
487,2018,19,12,0,19,0,0,72,45,2,1,1,76
202,2018,59,36,6,68,1,2,188,145,15,11,14,228
104,2018,16,12,1,23,5,1,63,61,10,19,5,99
328,2018,16,12,1,20,0,3,74,45,7,0,1,82
9948,2018,1,1,0,2,0,1,5,2,2,0,1,8
101,2018,16,13,0,19,2,1,64,55,4,11,2,82
9954,2018,4,3,1,6,1,0,10,6,0,1,4,15
9909,2018,1,1,0,1,0,0,1,1,0,0,0,1
1688,2018,3,3,0,3,0,0,10,7,0,0,0,10
394,2018,14,8,0,14,0,0,68,41,5,0,1,74
9968,2018,26,21,2,32,1,3,188,135,26,11,13,238
9936,2018,1,1,1,2,0,0,1,2,0,0,3,4
1244,2018,0,1,0,1,1,0,3,4,0,1,0,4
1769,2018,4,5,1,8,1,0,24,23,2,1,1,30
413,2018,12,8,0,12,0,0,52,31,0,0,1,53
9930,2018,1,1,1,2,0,0,2,1,0,0,1,3
2366,2018,2,1,0,2,0,0,2,1,0,0,0,2
306,2018,10,7,0,11,0,1,37,31,6,2,1,46
9944,2018,2,3,0,3,0,1,4,6,3,0,0,7
135,2018,52,37,0,60,1,6,210,162,19,22,9,263
9932,2018,4,3,0,5,0,1,5,4,1,0,0,6
1771,2018,16,12,0,17,1,0,63,42,0,2,1,66
9966,2018,15,10,0,17,0,2,57,37,6,2,4,69
109,2018,9,4,0,9,0,0,9,4,0,0,0,9
673,2018,8,6,0,9,1,0,25,22,3,3,1,32
240,2018,0,0,0,0,0,0,0,0,0,0,0,0
675,2018,7,5,0,7,0,0,35,27,3,3,0,42
110,2018,5,3,0,6,0,1,15,15,4,0,1,21
2171,2018,1,4,1,5,3,0,1,6,0,6,1,8
9957,2018,3,0,0,3,0,0,5,3,4,1,1,13
1865,2018,52,34,2,61,1,5,277,215,25,17,17,344
9946,2018,5,2,0,5,0,0,9,4,0,0,0,9
34,2018,21,18,6,33,2,1,271,261,21,66,63,434
9947,2018,2,0,0,2,0,0,7,4,0,0,0,7
177,2018,4,1,0,4,0,0,24,17,1,3,1,30
9953,2018,3,3,0,5,0,2,12,7,2,0,0,14
9937,2018,2,1,0,2,0,0,4,3,0,0,0,4
293,2018,129,85,9,153,8,7,720,480,39,50,81,899
9922,2018,10,6,0,12,0,1,10,6,1,0,0,12
1171,2018,12,10,0,13,1,0,23,19,0,3,1,27
183,2018,11,8,0,12,0,1,50,33,6,0,2,58
432,2018,31,24,1,35,2,0,184,152,16,33,16,251
2138,2018,4,1,0,4,0,0,5,1,0,0,0,5
415,2018,3,4,0,5,0,2,21,21,10,0,0,31
108,2018,28,23,0,37,3,5,116,88,13,13,3,147
465,2018,32,22,2,41,5,1,123,93,7,16,15,167
263,2018,21,16,0,24,2,1,83,62,5,6,3,97
96,2018,11,8,0,11,0,0,54,44,4,0,1,59
9938,2018,1,0,0,1,0,0,4,1,0,0,0,4
422,2018,15,17,0,25,9,1,85,79,7,36,3,131
417,2018,17,10,0,22,3,2,75,48,8,7,4,96
9943,2018,2,1,0,2,0,0,3,4,0,1,1,6
494,2018,50,40,3,67,9,4,200,173,24,25,22,276
9967,2018,13,9,2,16,0,0,50,37,2,2,9,69
1573,2018,0,0,0,1,0,1,6,3,2,0,0,8
409,2018,2,1,0,2,0,0,7,6,3,0,0,10
163,2018,10,8,0,11,1,0,57,41,0,2,2,62
249,2018,6,5,0,7,0,1,22,17,4,1,1,28
2369,2018,8,7,0,9,0,1,48,30,6,4,1,59
439,2018,12,11,0,22,9,1,96,82,6,30,2,137
76,2018,18,12,0,19,0,1,63,46,2,2,0,68
9942,2018,4,1,0,5,1,0,5,3,0,1,1,8
9965,2018,5,4,0,6,0,1,24,19,4,2,3,33
225,2018,12,14,3,20,0,5,68,58,16,3,6,94
326,2018,8,6,0,10,0,2,47,31,6,1,1,56
15,2018,10,6,0,14,4,0,53,38,1,19,2,75
425,2018,1,3,0,5,4,0,15,15,0,14,0,29
384,2018,5,3,0,5,0,0,17,12,0,0,0,17
2106,2018,0,4,0,6,6,0,0,30,1,41,0,42
1761,2018,2,1,0,2,0,0,4,2,0,0,0,4
2350,2018,2,2,0,3,1,0,8,7,0,3,0,11
9958,2018,4,3,0,4,0,0,23,18,0,1,0,24
2335,2018,1,0,0,1,0,0,1,0,0,0,0,1
2089,2018,1,1,0,1,0,0,3,3,0,0,0,3
9969,2018,1,1,0,1,0,0,1,1,0,0,0,1
2295,2018,2,1,0,2,0,0,10,7,1,0,0,11
2370,2018,3,1,0,3,0,0,4,2,0,0,0,4
9970,2018,7,5,0,7,0,0,32,20,3,0,1,36
448,2018,4,3,1,5,0,0,17,11,0,0,1,18
639,2018,2,2,0,5,3,0,14,8,0,3,1,19
290,2018,16,15,0,22,4,0,50,43,1,22,0,76
1452,2018,4,3,0,4,0,0,15,11,0,0,0,16
190,2018,1,0,0,1,0,0,8,7,0,2,0,10
2156,2018,1,1,0,1,0,0,3,3,1,0,0,5
9972,2018,1,2,0,3,0,2,8,6,7,0,1,16
9973,2018,1,1,0,2,1,0,1,1,0,1,0,2
9974,2018,2,1,0,2,0,0,3,3,0,1,0,4
1199,2018,2,1,0,2,0,0,4,1,0,0,0,4
479,2018,13,12,0,16,0,3,78,63,7,5,0,91
275,2018,3,2,1,4,0,0,17,13,0,2,1,22
991,2018,2,2,0,3,0,0,23,16,1,1,0,27
590,2018,1,1,0,2,0,0,5,6,0,1,0,8
35,2018,5,5,0,7,2,0,14,13,1,2,1,18
9975,2018,10,7,3,16,3,0,38,28,3,15,11,72
458,2018,3,3,1,4,0,0,8,7,0,0,2,10
1835,2018,4,3,0,5,0,1,11,7,1,0,0,12
2388,2018,4,3,0,4,0,0,11,4,0,1,0,12
613,2018,6,3,0,6,0,0,23,12,0,1,0,24
467,2018,13,9,1,14,0,0,73,54,2,0,3,78
398,2018,6,4,0,6,0,0,40,23,0,1,0,41
1542,2018,6,3,0,6,0,0,23,8,1,0,0,24
405,2018,6,4,0,6,0,0,18,11,0,1,1,20
303,2018,4,2,0,4,0,0,4,3,0,2,2,8
142,2018,6,4,0,6,0,0,15,12,2,1,0,19
383,2018,2,1,0,2,0,0,14,8,0,0,0,14
247,2018,4,2,0,4,0,0,23,10,2,0,0,25
739,2018,8,7,0,8,0,0,8,8,2,2,0,12
255,2018,20,14,1,22,1,0,94,72,6,5,5,110
181,2018,9,7,0,10,0,1,50,37,3,1,0,54
2398,2018,17,6,2,22,0,1,70,41,5,6,13,103
9976,2018,14,11,2,17,0,1,63,48,3,3,9,81
9977,2018,25,28,0,30,1,2,79,82,9,3,5,104
9978,2018,5,3,0,5,0,0,22,22,0,2,2,29
9979,2018,2,2,1,3,0,0,17,10,0,0,4,21
9980,2018,8,2,2,11,0,1,22,13,3,2,6,36
9981,2018,16,9,5,26,1,0,39,25,3,4,8,63
9982,2018,3,1,0,3,0,0,3,3,1,1,1,6
2106,2018,0,2,0,5,5,0,0,8,0,17,0,17
431,2018,17,15,1,22,3,1,70,64,6,11,2,89
2316,2018,2,1,0,3,0,1,9,7,2,0,0,11
389,2018,9,8,0,9,0,0,51,38,1,0,0,52
2411,2018,3,8,0,11,8,0,5,16,0,18,0,23
9983,2018,7,4,1,10,2,0,25,12,0,3,4,32
9984,2018,9,3,0,10,0,1,71,44,5,0,5,81
725,2018,6,4,0,6,0,0,33,20,0,1,0,34
99,2018,11,13,0,22,9,2,37,62,9,39,3,88
9985,2018,9,5,3,12,0,0,70,37,6,7,8,94
670,2018,2,1,0,2,0,0,18,11,2,1,0,21
427,2018,36,29,2,47,1,4,153,122,18,21,6,209
2356,2018,21,14,1,23,0,0,54,40,5,1,4,66
1696,2018,2,1,0,2,0,0,7,4,0,0,0,9
473,2018,7,5,0,7,0,0,32,22,0,1,2,35
475,2018,5,4,0,5,0,0,22,15,0,1,0,23
1853,2018,1,0,0,1,0,0,5,1,0,0,0,5
1740,2018,0,0,0,0,0,0,1,1,0,0,0,1
1738,2018,1,1,0,1,0,0,5,3,0,0,0,5
1742,2018,1,1,0,1,0,0,5,3,0,0,0,5
481,2018,1,0,0,1,0,0,3,1,1,0,0,4
1747,2018,0,0,0,0,0,0,2,1,0,0,0,2
1751,2018,3,3,0,3,0,0,7,6,0,0,1,8
2404,2018,1,0,0,1,0,0,5,1,0,0,0,5
112,2018,12,12,0,20,4,3,77,56,13,13,0,105
9986,2018,6,5,0,9,2,0,37,32,9,9,2,61
2120,2018,1,0,0,1,0,0,2,1,1,0,0,3
9987,2018,4,3,1,7,0,0,6,5,2,1,1,14
9988,2018,6,4,0,8,1,0,18,10,0,2,1,24
