NewsID,Year,white_sup_num,male_sup_num,asian_sup_num,total_sup_num,hisp_sup_num,black_sup_num,white_num,male_num,black_num,hisp_num,asian_num,total_num
9900,2018,0,0,0,0,0,0,0,0,0,0,0,0
9958,2018,2,1,0,2,0,0,13,10,0,0,0,13
9927,2018,1,1,0,1,0,0,2,2,0,0,0,2
9950,2018,1,2,0,2,0,0,6,7,0,0,0,9
9949,2018,1,1,0,1,0,0,6,4,0,2,0,8
9955,2018,3,1,0,3,0,0,11,4,0,1,1,13
9921,2018,2,2,1,5,1,1,2,2,1,1,1,5
9928,2018,2,1,0,2,0,0,3,2,0,0,0,3
9910,2018,2,1,0,2,0,0,2,1,0,0,0,2
9901,2018,1,1,0,1,0,0,1,1,0,0,0,1
9902,2018,1,1,0,1,0,0,1,1,0,0,0,1
9933,2018,0,0,0,1,1,0,0,1,0,3,0,3
9929,2018,2,2,0,2,0,0,3,3,0,0,0,3
9964,2018,3,0,0,3,0,0,21,8,3,4,1,29
9903,2018,1,0,0,1,0,0,1,0,0,0,0,1
9962,2018,4,3,0,6,1,0,16,9,4,2,1,25
9960,2018,5,3,0,6,1,0,14,9,0,2,1,17
9904,2018,1,1,0,1,0,0,1,1,0,0,0,1
9911,2018,1,1,0,2,0,0,1,1,0,0,0,2
9923,2018,1,0,0,1,0,0,2,0,0,0,0,2
9901,2018,1,1,0,1,0,0,2,2,0,0,0,2
9935,2018,1,0,0,2,1,0,2,0,0,2,0,4
9925,2018,1,1,0,1,0,0,2,2,0,0,0,2
9963,2018,4,2,0,4,0,0,22,13,4,0,0,27
9920,2018,2,3,0,4,2,0,2,3,0,2,0,4
9951,2018,3,3,0,5,2,0,9,7,0,3,0,12
9912,2018,2,1,0,2,0,0,2,1,0,0,0,2
9959,2018,3,0,0,4,1,0,10,3,2,3,0,15
9961,2018,4,3,0,5,0,1,13,10,3,1,4,22
9905,2018,1,1,0,1,0,0,1,1,0,0,0,1
9940,2018,2,1,0,3,1,0,4,2,0,2,0,6
9913,2018,2,0,0,2,0,0,2,0,0,0,0,2
9917,2018,1,0,0,3,1,1,1,0,1,1,0,3
9941,2018,2,0,1,3,0,0,3,2,1,1,1,6
9934,2018,1,0,0,1,0,0,3,1,0,0,0,3
9906,2018,1,1,0,1,0,0,1,1,0,0,0,1
9939,2018,2,1,0,2,0,0,4,2,1,0,0,5
9931,2018,4,2,0,4,0,0,5,3,0,0,0,5
9952,2018,2,1,0,2,0,0,9,3,1,0,0,10
9918,2018,0,1,1,3,1,1,0,1,1,1,1,3
9926,2018,1,1,0,1,0,0,2,2,0,0,0,2
9956,2018,3,3,0,3,0,0,12,9,0,1,0,13
9945,2018,4,2,0,4,0,0,7,3,0,1,0,8
9968,2018,26,21,2,32,1,3,188,135,26,11,13,238
9932,2018,4,3,0,5,0,1,4,4,1,1,0,6
9919,2018,2,1,0,3,0,1,2,1,1,0,0,3
9907,2018,0,0,1,1,0,0,0,0,0,0,1,1
9908,2018,1,1,0,1,0,0,1,1,0,0,0,1
9914,2018,2,1,0,2,0,0,2,1,0,0,0,2
9948,2018,1,1,0,2,0,1,5,2,2,0,1,8
9954,2018,4,3,1,6,1,0,10,6,0,1,4,15
9909,2018,1,1,0,1,0,0,1,1,0,0,0,1
9968,2018,26,21,2,32,1,3,188,135,26,11,13,238
9936,2018,1,1,1,2,0,0,1,2,0,0,3,4
9930,2018,1,1,1,2,0,0,2,1,0,0,1,3
9944,2018,2,3,0,3,0,1,4,6,3,0,0,7
9932,2018,4,3,0,5,0,1,5,4,1,0,0,6
9966,2018,15,10,0,17,0,2,57,37,6,2,4,69
9957,2018,3,0,0,3,0,0,5,3,4,1,1,13
9946,2018,5,2,0,5,0,0,9,4,0,0,0,9
9947,2018,2,0,0,2,0,0,7,4,0,0,0,7
9953,2018,3,3,0,5,0,2,12,7,2,0,0,14
9937,2018,2,1,0,2,0,0,4,3,0,0,0,4
9922,2018,10,6,0,12,0,1,10,6,1,0,0,12
9938,2018,1,0,0,1,0,0,4,1,0,0,0,4
9943,2018,2,1,0,2,0,0,3,4,0,1,1,6
9967,2018,13,9,2,16,0,0,50,37,2,2,9,69
9942,2018,4,1,0,5,1,0,5,3,0,1,1,8
9965,2018,5,4,0,6,0,1,24,19,4,2,3,33
9915,2018,2,1,0,2,0,0,2,1,0,0,0,2
9916,2018,2,1,0,2,0,0,2,1,0,0,0,2
2410,2018,2,1,0,2,0,0,3,2,0,0,0,3
2407,2018,2,0,0,2,0,0,2,0,0,0,0,2
2394,2018,2,1,0,2,0,0,6,4,0,1,0,7
2382,2018,15,9,2,19,1,0,56,41,2,2,8,70
