Company,city_concat,alt_name,NewsID,Year,Circ,City,State
anchorage daily news,anchorage daily newsanchorage,,9,1997,D,anchorage,ak
alaska dispatch,alaska dispatchanchorage,,2172,2011,O,anchorage,ak
alaska dispatch news,alaska dispatch newsanchorage,,2255,2015,E,anchorage,ak
fairbanks daily news-miner,fairbanks daily news-minerfairbanks,,512,1997,F,fairbanks,ak
juneau empire,juneau empirejuneau,,513,2000,G,juneau,ak
peninsula clarion,peninsula clarionkenai,,1855,1998,G,kenai,ak
the daily news,the daily newsketchikan,,11,1994,H,ketchikan,ak
the kodiak daily mirror,the kodiak daily mirrorkodiak,,514,1998,H,kodiak,ak
Arkansas Democrat-Gazette,Arkansas Democrat-Gazettelittle rock,,2408,n/a,n/a,little rock,ak
the daily sitka sentinel,the daily sitka sentinelsitka,,515,1998,H,sitka,ak
the alexander city outlook,the alexander city outlookalexander city,,1777,1998,G,alexander city,al
the andalusia star-news,the andalusia star-newsandalusia,,1801,1998,H,andalusia,al
The Anniston Star,The Anniston Staranniston,,1,1997,E,anniston,al
the news-courier,the news-courierathens,,496,1999,G,athens,al
The Birmingham News,The Birmingham Newsbirmingham,,2,1997,C,birmingham,al
Birmingham Post-Herald,Birmingham Post-Heraldbirmingham,,3,1997,D,birmingham,al
the clanton advertiser,the clanton advertiserclanton,,2086,2004,H,clanton,al
the cullman times,the cullman timescullman,,497,2004,F,cullman,al
The Decatur Daily,The Decatur Dailydecatur,,4,1997,E,decatur,al
dothan eagle,dothan eagledothan,,498,2006,E,dothan,al
enterprise ledger,enterprise ledgerenterprise,,499,1998,G,enterprise,al
timesdaily,timesdailyflorence,,500,1997,E,florence,al
times daily,times dailyflorence,,2392,2013,E,florence,al
fort payne times-journal,fort payne times-journalfort payne,,1802,1998,G,fort payne,al
the gadsden times,the gadsden timesgadsden,,501,1999,E,gadsden,al
The Huntsville Times,The Huntsville Timeshuntsville,,5,1997,D,huntsville,al
the news,the newshuntsville,,502,1995,F,huntsville,al
the daily mountain eagle,the daily mountain eaglejasper,,503,1999,F,jasper,al
valley times-news,valley times-newslanett,,504,1998,G,lanett,al
press-register,press-registermobile,,506,2007,D,mobile,al
Montgomery Advertiser,Montgomery Advertisermontgomery,,6,1997,D,montgomery,al
opelika-auburn news,opelika-auburn newsopelika,,507,1998,F,opelika,al
the daily sentinel,the daily sentinelscottsboro,,508,1997,G,scottsboro,al
the selma times-journal,the selma times-journalselma,,509,1998,G,selma,al
the daily home,the daily hometalladega,,510,1994,G,talladega,al
the messenger,the messengertroy,,511,1994,H,troy,al
The Tuscaloosa News,The Tuscaloosa Newstuscaloosa,,8,1997,E,tuscaloosa,al
arkadelphia daily siftings herald,arkadelphia daily siftings heraldarkadelphia,,526,2008,H,arkadelphia,ar
batesville daily guard,batesville daily guardbatesville,,527,1998,G,batesville,ar
the benton courier,the benton courierbenton,,528,1998,G,benton,ar
benton county daily record,benton county daily recordbentonville,,1805,1998,F,bentonville,ar
blytheville courier news,blytheville courier newsblytheville,,529,1999,H,blytheville,ar
camden news,camden newscamden,,18,2002,H,camden,ar
log cabin democrat,log cabin democratconway,,530,1999,F,conway,ar
the daily citizen,the daily citizende queen,,531,1994,H,de queen,ar
the news-times,the news-timesel dorado,,532,1994,F,el dorado,ar
northwest arkansas times,northwest arkansas timesfayetteville,,533,1998,F,fayetteville,ar
the fayetteville flyer,the fayetteville flyerfayetteville,,2169,2011,O,fayetteville,ar
times-herald,times-heraldforrest city,,534,2004,H,forrest city,ar
times record,times recordfort smith,,19,2002,E,fort smith,ar
harrison daily times,harrison daily timesharrison,,535,2004,G,harrison,ar
the daily world,the daily worldhelena,,536,1994,G,helena,ar
hope star,hope starhope,,537,1998,H,hope,ar
the sentinel-record,the sentinel-recordhot springs national park,,538,2010,F,hot springs national park,ar
jacksonville patriot,jacksonville patriotjacksonville,,2057,1998,H,jacksonville,ar
the jonesboro sun,the jonesboro sunjonesboro,,540,2001,E,jonesboro,ar
banner-news,banner-newsmagnolia,,541,1999,H,magnolia,ar
malvern daily record,malvern daily recordmalvern,,542,2004,G,malvern,ar
The Baxter Bulletin,The Baxter Bulletinmountain home,,2013,1998,F,mountain home,ar
newport daily independent,newport daily independentnewport,,544,1998,H,newport,ar
paragould daily press,paragould daily pressparagould,,22,1998,G,paragould,ar
pine bluff commercial,pine bluff commercialpine bluff,,546,1997,F,pine bluff,ar
the courier,the courierrussellville,,548,1997,F,russellville,ar
the daily citizen,the daily citizensearcy,,549,1994,G,searcy,ar
The Morning News of Northwest Arkansas,The Morning News of Northwest Arkansasspringdale,,550,2010,E,springdale,ar
stuttgart daily leader,stuttgart daily leaderstuttgart,,551,2008,H,stuttgart,ar
evening times,evening timeswest memphis,,552,2000,G,west memphis,ar
mohave valley daily news,mohave valley daily newsbullhead city,,2043,2006,G,bullhead city,az
casa grande dispatch,casa grande dispatchcasa grande,,517,1998,G,casa grande,az
the daily dispatch,the daily dispatchdouglas,,518,1994,H,douglas,az
arizona daily sun,arizona daily sunflagstaff,,519,1997,F,flagstaff,az
the kingman daily miner,the kingman daily minerkingman,,520,1998,G,kingman,az
today's news-herald,today's news-heraldlake havasu city,,2061,1997,F,lake havasu city,az
magnoliareporter.com,magnoliareporter.commagnolia,,2325,2016,O,magnolia,az
the scottsdale progress,the scottsdale progressmesa,,14,1994,F,mesa,az
the tempe daily news-tribune,the tempe daily news-tribunemesa,,525,1994,F,mesa,az
the chandler arizonan-tribune,the chandler arizonan-tribunemesa,,1804,1994,G,mesa,az
the gilbert tribune,the gilbert tribunemesa,,2040,1994,H,mesa,az
the arizona republic,the arizona republicphoenix,the arizona republic/phoenix gazette,12,1996,B,phoenix,az
the gazette,the gazettephoenix,,13,1994,D,phoenix,az
arizona center for investigative reporting,arizona center for investigative reportingphoenix,,2256,2016,O,phoenix,az
the arizona republic/azcentral.com,the arizona republic/azcentral.comphoenix,,2364,2016,A,phoenix,az
the daily courier,the daily courierprescott,,523,2001,F,prescott,az
sierra vista herald/bisbee daily review,sierra vista herald/bisbee daily reviewsierra vista,,524,2005,F,sierra vista,az
daily news-sun,daily news-sunsun city,,1778,2000,F,sun city,az
east valley tribune,east valley tribunetempe,,521,2014,D2,tempe,az
arizona daily star,arizona daily startucson,,15,2002,D,tucson,az
tucson citizen,tucson citizentucson,,16,1997,E,tucson,az
inside tuscon business,inside tuscon businesstucson,,1861,2014,H,tucson,az
tucsonsentinel.com,tucsonsentinel.comtucson,,2394,2016,O,tucson,az
the sun,the sunyuma,,17,2012,F,yuma,az
the times star,the times staralameda,,553,1994,G,alameda,ca
the daily ledger-post dispatch,the daily ledger-post dispatchantioch,,555,1994,F,antioch,ca
calcoastnews.com,calcoastnews.comatascadero,,2267,2016,O,atascadero,ca
auburn journal,auburn journalauburn,,1806,1998,F,auburn,ca
the bakersfield californian,the bakersfield californianbakersfield,,25,1997,D,bakersfield,ca
the record-gazette,the record-gazettebanning,,556,1995,H,banning,ca
desert dispatch,desert dispatchbarstow,,557,1998,G,barstow,ca
benicia herald,benicia heraldbenicia,,2041,2008,H,benicia,ca
center for investigative reporting/california watch,center for investigative reporting/california watchberkeley,,2145,2010,O,berkeley,ca
center for investigative reporting/california watch,center for investigative reporting/california watchberkeley,,2274,2016,O,berkeley,ca
ventura county star,ventura county starcamarillo,,62,2009,D,camarillo,ca
chico enterprise-record,chico enterprise-recordchico,,26,2000,E,chico,ca
dfm - norcal design center,dfm - norcal design centerchico,,2290,2015,Hubs,chico,ca
daily pilot,daily pilotcosta mesa,,27,1997,E,costa mesa,ca
the daily triplicate,the daily triplicatecrescent city,,2058,2004,H,crescent city,ca
the davis enterprise,the davis enterprisedavis,,564,1998,F,davis,ca
the daily californian,the daily californianel cajon,,567,1994,F,el cajon,ca
imperial valley press,imperial valley pressel centro,,568,1998,F,el centro,ca
the escondido north county times,the escondido north county timesescondido,,28,2003,D,escondido,ca
times-standard,times-standardeureka,,569,1998,F,eureka,ca
daily republic,daily republicfairfield,,570,1998,F,fairfield,ca
fremont argus,fremont argusfremont,,572,1999,E,fremont,ca
the fresno bee,the fresno beefresno,,29,1997,C,fresno,ca
the dispatch,the dispatchgilroy,,1808,1994,G,gilroy,ca
the glendale news-press,the glendale news-pressglendale,,31,2001,G,glendale,ca
the union,the uniongrass valley,,575,1994,F,grass valley,ca
the hanford sentinel,the hanford sentinelhanford,,576,1999,F,hanford,ca
the daily review,the daily reviewhayward,,577,1994,E,hayward,ca
the hemet news,the hemet newshemet,,578,1998,F,hemet,ca
free lance,free lancehollister,,579,1998,H,hollister,ca
benitolink.com,benitolink.comhollister,,2262,2016,O,hollister,ca
lake county record-bee,lake county record-beelakeport,,2027,1999,G,lakeport,ca
lodi news-sentinel,lodi news-sentinellodi,,585,1998,F,lodi,ca
the lompoc record,the lompoc recordlompoc,,586,1998,G,lompoc,ca
press-telegram,press-telegramlong beach,,32,1997,C,long beach,ca
Los Angeles Times,Los Angeles Timeslos angeles,,34,1997,A,los angeles,ca
La Opinion,La Opinionlos angeles,,2409,n/a,n/a,los angeles,CA
madera tribune,madera tribunemadera,,587,1998,G,madera,ca
manteca bulletin,manteca bulletinmanteca,,1810,1998,G,manteca,ca
appeal-democrat,appeal-democratmarysville,,589,1998,F,marysville,ca
daily news group,daily news groupmenlo park,,2066,2008,D,menlo park,ca
merced sun-star,merced sun-starmerced,,590,1998,F,merced,ca
the modesto bee,the modesto beemodesto,,35,1997,D,modesto,ca
the monterey county herald,the monterey county heraldmonterey,,36,1997,E,monterey,ca
the napa valley register,the napa valley registernapa,,591,2004,F,napa,ca
marin independent journal,marin independent journalnovato,,55,2008,E,novato,ca
the oakland tribune,the oakland tribuneoakland,,37,1999,D,oakland,ca
the inland valley daily bulletin,the inland valley daily bulletinontario,,38,1996,D,ontario,ca
the mercury register,the mercury registeroroville,,594,1996,G,oroville,ca
the press-courier,the press-courieroxnard,,595,1994,F,oxnard,ca
the desert sun,the desert sunpalm springs,,596,1994,E,palm springs,ca
antelope valley press,antelope valley presspalmdale,,2030,1999,E,palmdale,ca
the daily press,the daily presspaso robles,,599,1994,G,paso robles,ca
the west county times,the west county timespinole,,1862,1994,E,pinole,ca
tri-valley herald,tri-valley heraldpleasanton,,583,2003,E,pleasanton,ca
the valley times,the valley timespleasanton,,584,1994,E,pleasanton,ca
the porterville recorder,the porterville recorderporterville,,602,1999,F,porterville,ca
daily news,daily newsred bluff,,603,1998,G,red bluff,ca
record searchlight,record searchlightredding,,604,1997,E,redding,ca
redlands daily facts,redlands daily factsredlands,,605,1998,G,redlands,ca
the daily independent,the daily independentridgecrest,,607,1994,G,ridgecrest,ca
the press-enterprise,the press-enterpriserivlou ureneckerside,,42,2008,C,rivlou ureneckerside,ca
the sacramento bee,the sacramento beesacramento,,45,1997,B,sacramento,ca
the sacramento press,the sacramento presssacramento,,2180,2010,O,sacramento,ca
california mcclatchy multiplatform desk,california mcclatchy multiplatform desksacramento,,2268,2015,Hubs,sacramento,ca
the salinas californian,the salinas californiansalinas,,609,2005,F,salinas,ca
the san bernardino county sun,the san bernardino county sunsan bernardino,,46,1997,D,san bernardino,ca
the sun post news,the sun post newssan clemente,,610,1995,G,san clemente,ca
the san diego union-tribune,the san diego union-tribunesan diego,,48,1997,B,san diego,ca
san diego daily transcript,san diego daily transcriptsan diego,,611,1998,G,san diego,ca
voice of san diego,voice of san diegosan diego,,2133,2010,O,san diego,ca
the san diego union tribune,the san diego union tribunesan diego,,2384,2016,C,san diego,ca
the examiner.san francisco,the examiner.san franciscosan francisco,,49,2013,C,san francisco,ca
san francisco chronicle,san francisco chroniclesan francisco,,50,1997,B,san francisco,ca
sf public press,sf public presssan francisco,,2159,2011,O,san francisco,ca
mission local,mission localsan francisco,,2171,2010,O,san francisco,ca
the bay citizen,the bay citizensan francisco,,2198,2010,O,san francisco,ca
san jose mercury news,san jose mercury newssan jose,,51,1997,B,san jose,ca
"bay area news group (san jose mercury news, oakland tribune, and contra costa times)","bay area news group (san jose mercury news, oakland tribune, and contra costa times)san jose",,2261,2015,GROUPS,san jose,ca
the tribune,the tribunesan luis obispo,,613,2002,E,san luis obispo,ca
the san mateo county times,the san mateo county timessan mateo,,53,1998,E,san mateo,ca
the daily journal,the daily journalsan mateo,,2101,2009,F,san mateo,ca
the orange county register,the orange county registersanta ana,,615,1994,B,santa ana,ca
