"city_state","white_2015","white_2000"
"abbeville la",45.3,53.49541516
"aberdeen nc",63.9,71.41176471
"aberdeen sd",88.3,94.123611
"aberdeen wa",71.6,82.19427738
"abilene ks",93.7,93.97829742
"abilene tx",59.8,68.75873372
"ada ok",63.3,72.51927857
"adrian mi",75.4,76.86103643
"aiken sc",64.7,65.88388523
"akron oh",60.1,66.66804868
"alameda ca",43.5,52.47927594
"alamogordo nm",55.3,57.81012872
"alamosa co",45.4,48.15326633
"albany ga",23.9,32.74412197
"albany ny",51.2,61.11250497
"albany or",81.8,89.00665818
"albert lea mn",82.1,88.45609065
"albion mi",59.6,58.68328959
"albuquerque nm",40.9,49.90894034
"alexander city al",55.1,70.31583156
"alexandria la",35.9,42.04824997
"alice tx",14,20.11572856
"allentown pa",37.6,64.35310226
"alliance ne",78.9,85.52293783
"alliance oh",82.5,84.84926676
"alpena mi",95.1,97.2487615
"alton il",67.9,71.56676285
"altoona pa",92.8,95.5959857
"altus ok",59.2,67.42667972
"alva ok",85.9,93.66490166
"amarillo tx",57,68.43463286
"americus ga",32.2,38.04149768
"ames ia",81.8,86.26283732
"amsterdam ny",65.1,80.61563607
"anadarko ok",30.5,39.72911964
"anchorage ak",60.3,69.91697498
"andalusia al",64.5,73.40231976
"anderson in",76.8,80.9254361
"anderson sc",58.5,62.45590656
"angleton tx",51.6,63.16602317
"angola in",91.2,92.15686275
"ann arbor mi",68.9,72.76976777
"annapolis md",54.4,58.97929572
"anniston al",43.8,47.90739825
"antigo wi",92.9,96.42523364
"antioch ca",31.8,55.94044095
"appleton wi",83.2,90.24355444
"ardmore ok",62.7,71.63763654
"arkadelphia ar",64.3,67.9893695
"arkansas city ks",72.3,85.28797124
"arlington heights il",83.1,87.6116321
"arlington tx",42.1,59.64248924
"arlington va",63,60.43134709
"artesia nm",45.5,51.74897119
"asbury park nj",24,18.58830478
"asheboro nc",59.9,65.61000369
"asheville nc",77.4,75.97729681
"ashland ky",92.8,95.49611028
"ashland oh",94,95.88215916
"ashland or",88,89.98053478
"ashland wi",83.5,89.59396752
"ashtabula oh",78,82.3490125
"aspen co",85,90.83530605
"astoria or",84.8,88.4846632
"atascadero ca",78.2,82.7306804
"atchison ks",85.1,87.05043002
"athens al",71.2,75.10412822
"athens ga",56.2,61.78565017
"athens oh",82.9,88.37503514
"athens tn",83,85.07564297
"athens tx",51.7,61.8394264
"athol ma",90.6,94.76702509
"atlanta ga",36.8,31.2677382
"atlantic ia",94.1,98.26374535
"attleboro ma",84.1,89.06294571
"auburn ca",82.4,89.51211684
"auburn in",95.3,96.67881398
"auburn ny",83.6,87.39063484
"augusta ga",36.3,NULL
"augusta ks",91.1,94.55063517
"augusta me",91.8,95.58189655
"aurora il",38.6,52.07147353
"austin mn",74.7,90.06605473
"austin tx",48.7,52.9354425
"baker city or",90.9,93.9959432
"bakersfield ca",35.2,51.07444841
"baltimore md",28.1,30.95519647
"bangor me",90.9,94.37930925
"banning ca",43.5,52.43188184
"baraboo wi",90.8,96.16282327
"barre vt",93.7,96.12528253
"barstow ca",31.3,43.387471
"bartlesville ok",75.4,80.58881087
"bastrop la",18.3,34.53187558
"batavia ny",85.4,89.30241142
"batesville ar",78.6,90.51349921
"baton rouge la",36.4,44.71420169
"battle creek mi",67.5,72.63510981
"bay city mi",84.2,87.82084363
"bay city tx",37.7,46.13489045
"baytown tx",34.7,50.17010387
"beardstown il",58.5,80.64516129
"beatrice ne",93.9,96.97503201
"beaufort sc",59.1,67.66023166
"beaumont tx",33.9,42.6773576
"beaver dam wi",89.3,93.8558903
"beavercreek oh",86.2,92.64427127
"beckley wv",66.8,73.22939608
"bedford in",94.3,96.31754794
"bellefontaine oh",89.3,90.3435611
"belleville il",68.2,80.51436851
"bellevue oh",95.1,96.15525449
"bellevue wa",54.7,71.82506001
"bellingham wa",79.1,85.87634545
"beloit wi",64.2,71.92732355
"belvidere il",68,77.15177714
"bemidji mn",81.1,83.69556096
"bend or",86.9,91.60276
"benicia ca",60.8,73.89912526
"bennington vt",92.9,96.4986911
"benton ar",83.9,92.01588606
"benton il",93,98.34302326
"bentonville ar",73.6,87.91687785
"berkeley ca",55.9,55.17748168
