NewsID,Year,white_sup_num,male_sup_num,total_sup_num,white_num,male_num,total_num,black_sup_num,hisp_sup_num,black_num,hisp_num,asian_num,asian_sup_num
1,1994,9,,9,41,,44,0,0,0,0,0,0
2,1994,28,,30,116,,126,0,0,0,0,0,0
3,1994,15,,15,51,,57,0,0,0,0,0,0
4,1994,7,,7,30,,31,0,0,0,0,0,0
5,1994,13,,14,46,,52,0,0,0,0,0,0
6,1994,11,,11,65,,70,0,0,0,0,0,0
8,1994,7,,7,34,,35,0,0,0,0,0,0
9,1994,21,,22,79,,84,0,0,0,0,0,0
11,1994,1,,1,8,,9,0,0,0,0,0,0
12,1994,34,,37,168,,189,0,0,0,0,0,0
13,1994,27,,29,132,,151,0,0,0,0,0,0
14,1994,11,,11,19,,19,0,0,0,0,0,0
15,1994,22,,26,89,,108,0,0,0,0,0,0
16,1994,21,,26,54,,74,0,0,0,0,0,0
17,1994,4,,5,21,,23,0,0,0,0,0,0
18,1994,1,,1,4,,5,0,0,0,0,0,0
19,1994,5,,5,26,,26,0,0,0,0,0,0
22,1994,2,,2,9,,9,0,0,0,0,0,0
23,1994,7,,7,23,,24,0,0,0,0,0,0
25,1994,20,,24,66,,82,0,0,0,0,0,0
27,1994,3,,3,15,,16,0,0,0,0,0,0
29,1994,20,,24,98,,118,0,0,0,0,0,0
31,1994,7,,7,18,,22,0,0,0,0,0,0
32,1994,13,,18,92,,113,0,0,0,0,0,0
34,1994,165,,202,698,,862,0,0,0,0,0,0
35,1994,16,,20,59,,79,0,0,0,0,0,0
36,1994,5,,6,39,,41,0,0,0,0,0,0
37,1994,6,,11,24,,42,0,0,0,0,0,0
38,1994,13,,14,57,,65,0,0,0,0,0,0
42,1994,32,,34,147,,174,0,0,0,0,0,0
45,1994,47,,54,166,,213,0,0,0,0,0,0
46,1994,19,,23,55,,69,0,0,0,0,0,0
48,1994,58,,60,290,,311,0,0,0,0,0,0
49,1994,34,,34,155,,177,0,0,0,0,0,0
50,1994,32,,39,215,,246,0,0,0,0,0,0
51,1994,64,,73,244,,297,0,0,0,0,0,0
53,1994,6,,6,37,,38,0,0,0,0,0,0
56,1994,8,,13,48,,58,0,0,0,0,0,0
57,1994,6,,6,24,,26,0,0,0,0,0,0
58,1994,15,,16,62,,75,0,0,0,0,0,0
60,1994,19,,20,81,,83,0,0,0,0,0,0
62,1994,15,,17,54,,60,0,0,0,0,0,0
63,1994,4,,4,12,,13,0,0,0,0,0,0
65,1994,15,,16,49,,58,0,0,0,0,0,0
67,1994,32,,33,146,,170,0,0,0,0,0,0
68,1994,33,,34,189,,207,0,0,0,0,0,0
70,1994,10,,11,32,,37,0,0,0,0,0,0
74,1994,14,,15,43,,47,0,0,0,0,0,0
76,1994,77,,83,277,,318,0,0,0,0,0,0
77,1994,15,,15,54,,54,0,0,0,0,0,0
80,1994,1,,1,25,,26,0,0,0,0,0,0
81,1994,23,,24,90,,94,0,0,0,0,0,0
84,1994,4,,4,14,,16,0,0,0,0,0,0
85,1994,5,,5,18,,20,0,0,0,0,0,0
86,1994,31,,35,89,,107,0,0,0,0,0,0
88,1994,110,,128,422,,522,0,0,0,0,0,0
91,1994,27,,30,122,,127,0,0,0,0,0,0
93,1994,15,,16,55,,62,0,0,0,0,0,0
94,1994,5,,7,20,,26,0,0,0,0,0,0
96,1994,41,,42,175,,183,0,0,0,0,0,0
98,1994,18,,19,66,,75,0,0,0,0,0,0
99,1994,75,,107,282,,452,0,0,0,0,0,0
101,1994,55,,62,256,,301,0,0,0,0,0,0
104,1994,60,,68,256,,294,0,0,0,0,0,0
105,1994,28,,28,113,,124,0,0,0,0,0,0
108,1994,64,,66,234,,268,0,0,0,0,0,0
109,1994,11,,12,40,,46,0,0,0,0,0,0
110,1994,15,,17,49,,57,0,0,0,0,0,0
111,1994,62,,64,299,,327,0,0,0,0,0,0
112,1994,41,,44,181,,200,0,0,0,0,0,0
115,1994,93,,112,352,,430,0,0,0,0,0,0
116,1994,18,,18,65,,72,0,0,0,0,0,0
118,1994,13,,16,45,,57,0,0,0,0,0,0
121,1994,19,,20,57,,65,0,0,0,0,0,0
124,1994,1,,2,6,,11,0,0,0,0,0,0
125,1994,9,,14,54,,87,0,0,0,0,0,0
126,1994,12,,23,42,,82,0,0,0,0,0,0
127,1994,8,,8,33,,34,0,0,0,0,0,0
128,1994,10,,10,26,,26,0,0,0,0,0,0
129,1994,21,,22,149,,159,0,0,0,0,0,0
132,1994,6,,6,29,,29,0,0,0,0,0,0
134,1994,34,,42,176,,218,0,0,0,0,0,0
135,1994,115,,123,503,,592,0,0,0,0,0,0
136,1994,8,,8,21,,24,0,0,0,0,0,0
137,1994,5,,5,15,,15,0,0,0,0,0,0
138,1994,3,,3,24,,26,0,0,0,0,0,0
139,1994,12,,12,51,,51,0,0,0,0,0,0
140,1994,24,,24,75,,82,0,0,0,0,0,0
141,1994,5,,5,25,,25,0,0,0,0,0,0
142,1994,13,,13,53,,56,0,0,0,0,0,0
144,1994,10,,10,26,,27,0,0,0,0,0,0
146,1994,14,,15,61,,64,0,0,0,0,0,0
147,1994,17,,19,59,,66,0,0,0,0,0,0
148,1994,20,,20,57,,64,0,0,0,0,0,0
149,1994,15,,19,55,,66,0,0,0,0,0,0
150,1994,8,,9,35,,40,0,0,0,0,0,0
151,1994,16,,16,85,,92,0,0,0,0,0,0
152,1994,33,,34,140,,152,0,0,0,0,0,0
153,1994,4,,5,24,,26,0,0,0,0,0,0
156,1994,15,,15,58,,63,0,0,0,0,0,0
157,1994,10,,10,37,,38,0,0,0,0,0,0
159,1994,3,,3,19,,19,0,0,0,0,0,0
160,1994,11,,11,74,,75,0,0,0,0,0,0
161,1994,11,,11,56,,59,0,0,0,0,0,0
163,1994,42,,45,140,,149,0,0,0,0,0,0
